CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2024-09-06 13:17:50.3110272,E:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\New Volume (F).lnk,D:\challengeeeeee\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\New Volume (F).lnk,325,3D4BF60812CCBD979830B551B3499F93FFB622F9,False,2024-09-06 12:52:51.0842105,2024-09-06 12:52:51.0842105,2024-09-06 12:52:51.0842105,00:00:00.0031692
2024-09-06 13:17:50.3338242,E:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\the flag.lnk,D:\challengeeeeee\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\the flag.lnk,443,85573B8E2469F219B2B8662D0822E676A4A602E3,False,2024-09-06 12:18:00.2329046,2024-09-06 12:52:51.0842105,2024-09-06 12:52:51.0842105,00:00:00.0025707
2024-09-06 13:17:50.5360373,E:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,D:\challengeeeeee\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,9728,FA2D6E269DA160288B6E19DB669D5F6CA0159B18,False,2024-09-06 11:56:24.4075149,2024-09-06 13:00:10.9420000,2024-09-06 11:56:24.4075149,00:00:00.0993505
2024-09-06 13:17:50.5703710,E:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\28c8b86deab549a1.automaticDestinations-ms,D:\challengeeeeee\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\28c8b86deab549a1.automaticDestinations-ms,4096,8570325716B06E99277173323DD6798EB445B9B0,False,2024-09-06 12:13:39.3848464,2024-09-06 12:13:39.3840000,2024-09-06 12:13:39.3848464,00:00:00.0039910
2024-09-06 13:17:50.6241986,E:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\7e4dca80246863e3.automaticDestinations-ms,D:\challengeeeeee\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\7e4dca80246863e3.automaticDestinations-ms,6656,C1D836FCD0688E21A25E7393A1418E3F7A79AE81,False,2024-09-06 12:15:43.2334639,2024-09-06 12:51:31.9600000,2024-09-06 12:15:43.2334639,00:00:00.0029019
2024-09-06 13:17:50.6915588,E:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\9b9cdc69c1c24e2b.automaticDestinations-ms,D:\challengeeeeee\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\9b9cdc69c1c24e2b.automaticDestinations-ms,6656,AA192B32369EE551C5224D02A0202780F58E0DD5,False,2024-09-06 12:13:31.2572321,2024-09-06 12:52:51.0680000,2024-09-06 12:13:31.2572321,00:00:00.0039899
2024-09-06 13:17:50.7070432,E:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\1b4dd67f29cb1962.customDestinations-ms,D:\challengeeeeee\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\1b4dd67f29cb1962.customDestinations-ms,24,9733D94607A3CBA277E567AF584510EDD9FEBF62,False,2024-09-06 11:56:24.4075149,2024-09-06 11:56:24.4075149,2024-09-06 11:56:24.4075149,00:00:00.0029918
2024-09-06 13:17:50.7161337,E:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\7e4dca80246863e3.customDestinations-ms,D:\challengeeeeee\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\7e4dca80246863e3.customDestinations-ms,24,707C3647EEC303E0801EFDF2D4636B3D409F42B9,False,2024-09-06 11:56:24.4075149,2024-09-06 11:56:24.4075149,2024-09-06 11:56:24.4075149,00:00:00.0030308
2024-09-06 13:17:50.7547946,E:\Users\HP\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,D:\challengeeeeee\E\Users\HP\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,3072,4C111189D07FC30365B31F9D2691CDADC85C474B,False,2024-09-06 11:49:50.5536232,2024-09-06 11:49:50.5530000,2024-09-06 11:49:50.5536232,00:00:00.0029930
2024-09-06 13:17:50.7799875,E:\Users\HP\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\7e4dca80246863e3.automaticDestinations-ms,D:\challengeeeeee\E\Users\HP\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\7e4dca80246863e3.automaticDestinations-ms,3072,3C66F64DE883C82F33A5BA35C5DD607C3440754C,False,2024-09-06 11:52:26.8814977,2024-09-06 11:55:25.7350000,2024-09-06 11:52:26.8814977,00:00:00.0024942
